,machine_id,link
0,5923041aa0a44b000100190f,https://app.augury.com/#/machines/5923041aa0a44b000100190f
1,5964f1f130957f00010026dd,https://app.augury.com/#/machines/5964f1f130957f00010026dd
2,59650ba2cfd36700010026e4,https://app.augury.com/#/machines/59650ba2cfd36700010026e4
3,5964f1d9cfd3670001002695,https://app.augury.com/#/machines/5964f1d9cfd3670001002695
4,5964f1facfd367000100269a,https://app.augury.com/#/machines/5964f1facfd367000100269a
5,59b0071fe996730001000c4f,https://app.augury.com/#/machines/59b0071fe996730001000c4f
6,59b13910e996730001001006,https://app.augury.com/#/machines/59b13910e996730001001006
7,59affb9fe996730001000c30,https://app.augury.com/#/machines/59affb9fe996730001000c30
8,59b16f6ee996730001001113,https://app.augury.com/#/machines/59b16f6ee996730001001113
9,5a301727e906960001000c50,https://app.augury.com/#/machines/5a301727e906960001000c50
10,5a37cbf2653bf2000100353e,https://app.augury.com/#/machines/5a37cbf2653bf2000100353e
11,5a32cb78653bf20001001ad3,https://app.augury.com/#/machines/5a32cb78653bf20001001ad3
12,5a85ba5bb1ec990001005b5b,https://app.augury.com/#/machines/5a85ba5bb1ec990001005b5b
13,5a85b98db1ec990001005b4c,https://app.augury.com/#/machines/5a85b98db1ec990001005b4c
14,5a85bae2fae4b000010059e2,https://app.augury.com/#/machines/5a85bae2fae4b000010059e2
15,5a85bb74fae4b000010059e6,https://app.augury.com/#/machines/5a85bb74fae4b000010059e6
16,5a8deb56b1ec9900010091a4,https://app.augury.com/#/machines/5a8deb56b1ec9900010091a4
17,5a8e05aab1ec990001009258,https://app.augury.com/#/machines/5a8e05aab1ec990001009258
18,5a8dc748536daf0001001b6f,https://app.augury.com/#/machines/5a8dc748536daf0001001b6f
19,5a8de0a5b1ec990001009127,https://app.augury.com/#/machines/5a8de0a5b1ec990001009127
20,5a95741d402ff00001001733,https://app.augury.com/#/machines/5a95741d402ff00001001733
21,5a95745d7aca620001001741,https://app.augury.com/#/machines/5a95745d7aca620001001741
22,5a95743e7aca620001001739,https://app.augury.com/#/machines/5a95743e7aca620001001739
23,5a95744f7aca62000100173d,https://app.augury.com/#/machines/5a95744f7aca62000100173d
